"701","0.0442632188523007+0.0001961308*DFF_SORT_IDVFX_1+0.2844591*DFF_SORT_SICC2_4+0.107307*DFF_SORT_SICC3_4+0.4351912*DFF_SORT_SICC3_9+-1.541125*DFF_SORT_SICC3_10","0.24"
"702","1.32182225179288+-0.00004346074*DFF_SORT_IDVFX_1+0.4235101*DFF_SORT_SICC1_4+-0.1378616*DFF_SORT_SICC2_12+-1.029357*DFF_SORT_SICC2_8+-0.2179103*DFF_SORT_SICC2_2","0.04"
"703","1.51053364411966+-0.00007903346*DFF_SORT_IDVFX_1+-0.8828375*DFF_SORT_SICC2_12+-0.3432442*DFF_SORT_SICC3_4+-0.772817*DFF_SORT_SICC2_4+7.754543*DFF_SORT_SICC2_10","0.06"
"704","1.11966742469673+-0.00003016143*DFF_SORT_IDVFX_1+-0.1236764*DFF_SORT_SICC2_12+-0.1304208*DFF_SORT_SICC2_9+-0.159872*DFF_SORT_RELVBDP_1+-0.3549366*DFF_SORT_SICC3_8","0.03"
"705","1.43065410758056+-0.00006695174*DFF_SORT_IDVFX_1+-0.3744842*DFF_SORT_SICC1_12+-0.5866462*DFF_SORT_SICC3_4+-0.3736411*DFF_SORT_SICC1_9+2.426755*DFF_SORT_SICC2_4","0.05"
"706","1.11464360359378+-0.00002345156*DFF_SORT_IDVFX_1+-0.1840547*DFF_SORT_SICC3_12+-0.4709059*DFF_SORT_SICC2_1+1.412433*DFF_SORT_SICC3_10+0.2112774*DFF_SORT_SICC2_9","0.04"
"707","0.818460863016715+-0.0000387549*DFF_SORT_IDVFX_1+-0.470267*DFF_SORT_SICC3_4+1.246962*DFF_SORT_SICC2_4+-0.01772598*DFF_SORT_SICC3_9+-0.00755025*DFF_SORT_SICC2_12","0.02"
"708","0.684560064106808+-0.00001352214*DFF_SORT_RELVBDJP_1+0.002973467*DFF_SORT_RELVBDN_1+-0.00001497474*DFF_SORT_IDVFX_1+-1.67233*DFF_SORT_SICC3_11+1.197558*DFF_SORT_SICC2_4","0.02"
"709","0.567273967948994+0.6240214*DFF_SORT_SICC2_4+0.2121004*DFF_SORT_SICC3_4+-0.5392896*DFF_SORT_SICC1_7+0.09735377*DFF_SORT_RELVBDN_1+-3.758558*DFF_SORT_SICC3_10","0.03"
"710","0.692298593985395+-0.00003265565*DFF_SORT_IDVFX_1+-0.005570145*DFF_SORT_SICC3_4+-0.03199381*DFF_SORT_SICC2_9+0.1184251*DFF_SORT_RELVBDN_1+0.000005743374*DFF_SORT_RELVBDJP_1","0.02"
"711","0.527658726906236+5.541262*DFF_SORT_SICC2_4+-0.9874203*DFF_SORT_SICC2_10+0.5131999*DFF_SORT_SICC3_4+0.000020526*DFF_SORT_IDVFX_1+-0.06069573*DFF_SORT_RELVBDN_1","0.06"
"713","0.587528863221321+-0.00001039772*DFF_SORT_IDVFX_1+-0.1435743*DFF_SORT_SICC3_4+-0.6838353*DFF_SORT_SICC3_9+-0.4837797*DFF_SORT_SICC3_11+0.4828991*DFF_SORT_SICC1_9","0.03"
"714","0.684785443901017+-0.00003077067*DFF_SORT_IDVFX_1+-0.7519336*DFF_SORT_SICC3_4+-1.380889*DFF_SORT_SICC3_11+-0.1565055*DFF_SORT_SICC3_9+2.439111*DFF_SORT_SICC2_4","0.03"
"715","0.125348960402476+31.04333*DFF_SORT_SICC2_10+-1.880345*DFF_SORT_SICC2_4+0.00008622387*DFF_SORT_IDVFX_1+12.26807*DFF_SORT_SICC1_11+-1.057108*DFF_SORT_SICC3_4","0.1"
"716","0.829976733729816+-0.00006007745*DFF_SORT_IDVFX_1+-1.3388*DFF_SORT_SICC3_4+-0.3917321*DFF_SORT_SICC3_9+3.467616*DFF_SORT_SICC2_4+-0.2029119*DFF_SORT_SICC3_11","0.03"
"719","-0.287812013791639+0.0002404417*DFF_SORT_IDVFX_1+1.344628*DFF_SORT_SICC1_4+-0.05574914*DFF_SORT_SICC3_9+0.1011165*DFF_SORT_RELVBDN_1+-2.97579*DFF_SORT_SICC3_10","0.28"
"720","1.2316529189674+-0.00002853107*DFF_SORT_IDVFX_1+0.1209563*DFF_SORT_SICC2_4+0.2300589*DFF_SORT_SICC3_4+0.1196244*DFF_SORT_SICC2_7+-0.113553*DFF_SORT_SICC2_2","0.03"
"721","1.07724255350942+0.114742*DFF_SORT_SICC3_9+0.1534695*DFF_SORT_SICC3_12+0.1897387*DFF_SORT_SICC1_9+-0.232589*DFF_SORT_SICC3_1+0.000002013155*DFF_SORT_IDVFX_1","0.04"
"722","1.32086265947495+-0.00005920443*DFF_SORT_IDVFX_1+-0.01490826*DFF_SORT_SICC1_4+0.09908755*DFF_SORT_SICC3_9+0.4347826*DFF_SORT_SICC3_10+-0.3326009*DFF_SORT_SICC2_1","0.04"
